alg  instance      rep time    iterations  value      
PM   p4000-2       4   13.20   1105        405417     
PM   p4000-2       5   63.56   4890        256660     
PM   p4000-2       6   142.31  11077       326067     
PM   p4000-2       7   290.15  23971       244508     
PM   p4000-2       8   96.50   8563        247398     
PM   p4000-2       9   56.89   5018        318139     
PM   p4000-2       10  5.21    530         241365     
0.50 p5000-1       1   16.90   2908        8468025    
0.50 p5000-1       2   36.31   2927        8500783    
0.50 p5000-1       3   41.59   2974        8473589    
0.50 p5000-1       4   41.60   3057        8488893    
0.50 p5000-1       5   41.93   2969        8482362    
0.50 p5000-1       6   39.12   2803        8471537    
0.50 p5000-1       7   47.79   3123        8511964    
0.50 p5000-1       8   41.18   2872        8467010    
0.50 p5000-1       9   58.23   3026        8477274    
0.50 p5000-1       10  60.04   2923        8482416    
MM   p5000-1       1   61.52   2863        8499705    
MM   p5000-1       2   58.91   2883        8485622    
MM   p5000-1       3   61.35   2945        8477033    
MM   p5000-1       4   59.71   2911        8467393    
MM   p5000-1       5   53.82   3017        8465473    
MM   p5000-1       6   55.91   2799        8490844    
MM   p5000-1       7   54.06   2767        8469370    
MM   p5000-1       8   53.82   2845        8446880    
MM   p5000-1       9   55.36   2937        8481068    
MM   p5000-1       10  44.22   2915        8477382    
PM   p5000-1       1   237.57  15543       348433     
PM   p5000-1       2   222.16  14400       325224     
PM   p5000-1       3   146.39  9085        280749     
PM   p5000-1       4   266.64  17119       201636     
PM   p5000-1       5   265.62  17691       288485     
PM   p5000-1       6   146.72  9579        266513     
PM   p5000-1       7   141.09  9446        262987     
PM   p5000-1       8   156.77  11205       237283     
PM   p5000-1       9   228.74  17351       367804     
PM   p5000-1       10  51.16   3829        301927     
0.50 p5000-2       1   20.71   2954        10761324   
0.50 p5000-2       2   40.55   3035        10769758   
0.50 p5000-2       3   45.20   2763        10675815   
0.50 p5000-2       4   41.93   2868        10687797   
0.50 p5000-2       5   46.96   3042        10752124   
0.50 p5000-2       6   38.94   2796        10760047   
0.50 p5000-2       7   43.56   3001        10748929   
0.50 p5000-2       8   40.66   2872        10718656   
0.50 p5000-2       9   55.96   2791        10697639   
0.50 p5000-2       10  56.49   2803        10690852   
MM   p5000-2       1   61.56   2964        10733606   
MM   p5000-2       2   60.64   3047        10774551   
MM   p5000-2       3   60.80   2978        10714367   
MM   p5000-2       4   60.27   2944        10720720   
MM   p5000-2       5   50.08   2778        10687494   
MM   p5000-2       6   54.38   2902        10740257   
MM   p5000-2       7   56.57   2919        10723224   
MM   p5000-2       8   60.19   3084        10725162   
MM   p5000-2       9   49.40   2620        10681988   
MM   p5000-2       10  47.16   2945        10729636   
PM   p5000-2       1   13.60   705         498915     
PM   p5000-2       2   185.49  12204       524708     
PM   p5000-2       3   56.93   3656        460790     
PM   p5000-2       4   122.08  7795        498831     
PM   p5000-2       5   271.77  17066       346425     
PM   p5000-2       6   46.68   2794        452089     
PM   p5000-2       7   226.14  16462       582398     
PM   p5000-2       8   292.01  21997       462276     
PM   p5000-2       9   54.27   3820        414143     
PM   p5000-2       10  1.21    97          473750     
0.50 p6000-1       1   44.94   3618        11281725   
0.50 p6000-1       2   61.25   3489        11262716   
0.50 p6000-1       3   61.31   3602        11239871   
0.50 p6000-1       4   56.97   3451        11268399   
0.50 p6000-1       5   61.04   3613        11230670   
0.50 p6000-1       6   62.19   3593        11258583   
0.50 p6000-1       7   56.88   3362        11262239   
0.50 p6000-1       8   56.27   3384        11250471   
0.50 p6000-1       9   93.93   3583        11261338   
0.50 p6000-1       10  92.55   3583        11244072   
MM   p6000-1       1   85.54   3414        11280918   
MM   p6000-1       2   90.44   3537        11272083   
MM   p6000-1       3   83.87   3372        11217288   
MM   p6000-1       4   89.75   3460        11247482   
MM   p6000-1       5   81.27   3439        11252700   
MM   p6000-1       6   78.00   3492        11271913   
MM   p6000-1       7   82.68   3625        11276188   
MM   p6000-1       8   87.89   3646        11280415   
MM   p6000-1       9   76.36   3373        11248166   
MM   p6000-1       10  74.76   3471        11258587   
PM   p6000-1       1   4.91    254         341727     
PM   p6000-1       2   62.87   3193        187021     
PM   p6000-1       3   50.40   2523        228416     
PM   p6000-1       4   122.29  6762        396745     
PM   p6000-1       5   198.19  10568       393875     
PM   p6000-1       6   150.42  8120        472723     
PM   p6000-1       7   237.38  14104       317004     
PM   p6000-1       8   219.49  13045       424638     
PM   p6000-1       9   47.94   2750        366368     
PM   p6000-1       10  185.77  17661       492397     
0.50 p6000-2       1   56.36   3496        14224579   
0.50 p6000-2       2   53.58   3303        14177512   
0.50 p6000-2       3   54.11   3238        14139333   
0.50 p6000-2       4   60.18   3418        14207170   
0.50 p6000-2       5   64.31   3449        14173244   
0.50 p6000-2       6   61.26   3352        14157020   
0.50 p6000-2       7   56.00   3431        14173846   
0.50 p6000-2       8   60.82   3422        14132698   
0.50 p6000-2       9   86.89   3296        14158815   
0.50 p6000-2       10  87.56   3462        14182679   
MM   p6000-2       1   85.91   3502        14199465   
MM   p6000-2       2   86.12   3494        14205701   
MM   p6000-2       3   89.62   3472        14208074   
MM   p6000-2       4   88.09   3580        14192252   
MM   p6000-2       5   85.37   3723        14240249   
MM   p6000-2       6   82.24   3415        14186154   
MM   p6000-2       7   79.60   3375        14142668   
MM   p6000-2       8   85.05   3633        14232354   
MM   p6000-2       9   80.79   3631        14196361   
MM   p6000-2       10  77.44   3536        14221462   
PM   p6000-2       1   178.71  9191        579220     
PM   p6000-2       2   172.23  8885        157655     
PM   p6000-2       3   296.35  15687       389435     
PM   p6000-2       4   174.54  9486        232232     
PM   p6000-2       5   266.44  14156       207151     
PM   p6000-2       6   188.15  10818       119865     
PM   p6000-2       7   295.75  18180       354849     
PM   p6000-2       8   287.22  17892       274098     
PM   p6000-2       9   23.79   1723        441384     
PM   p6000-2       10  232.86  26945       437663     
0.50 p7000-1       1   82.89   4268        14375176   
0.50 p7000-1       2   87.01   4419        14409755   
0.50 p7000-1       3   81.60   4124        14364087   
0.50 p7000-1       4   87.07   4165        14354343   
0.50 p7000-1       5   85.53   4019        14356533   
0.50 p7000-1       6   80.52   3874        14334183   
0.50 p7000-1       7   80.65   3956        14345186   
0.50 p7000-1       8   106.07  4199        14327630   
0.50 p7000-1       9   115.73  4093        14378928   
0.50 p7000-1       10  118.70  4136        14355351   
MM   p7000-1       1   117.96  3963        14341511   
MM   p7000-1       2   121.82  4147        14374956   
MM   p7000-1       3   120.98  4136        14350709   
MM   p7000-1       4   111.18  3961        14361644   
MM   p7000-1       5   112.38  4296        14352155   
MM   p7000-1       6   121.72  4393        14377273   
MM   p7000-1       7   112.46  4100        14369143   
MM   p7000-1       8   102.09  3959        14325405   
MM   p7000-1       9   96.56   4003        14380522   
MM   p7000-1       10  94.82   3939        14362394   
PM   p7000-1       1   227.39  10064       152442     
PM   p7000-1       2   258.78  11263       336871     
PM   p7000-1       3   236.55  10812       500475     
PM   p7000-1       4   91.96   4173        419395     
PM   p7000-1       5   135.46  5843        262210     
PM   p7000-1       6   87.81   4625        479088     
PM   p7000-1       7   83.97   4552        354939     
PM   p7000-1       8   18.20   1011        272590     
