tenure instance      d   rep v           it        time    
F      p5000-2.txt   200 10  10741028    3228      77.677588 
R      p5000-2.txt   25  1   10797344    4474      109.959391
R      p5000-2.txt   50  1   10782463    4314      89.783990
R      p5000-2.txt   100 1   10730371    3699      82.598471
R      p5000-2.txt   200 1   10757316    3407      71.183423
R      p5000-2.txt   25  2   10758278    4609      104.216917
R      p5000-2.txt   50  2   10726672    3061      66.984876
R      p5000-2.txt   100 2   10746436    3277      75.116758
R      p5000-2.txt   200 2   10770927    3418      73.689097
R      p5000-2.txt   25  3   10797268    4846      107.336662
R      p5000-2.txt   50  3   10788378    3562      87.326368
R      p5000-2.txt   100 3   10786667    3678      82.609965
R      p5000-2.txt   200 3   10776286    3535      82.692797
R      p5000-2.txt   25  4   10771687    3607      79.668326
R      p5000-2.txt   50  4   10769425    3791      84.979097
R      p5000-2.txt   100 4   10746665    3181      77.567710
R      p5000-2.txt   200 4   10760410    3330      75.113677
R      p5000-2.txt   25  5   10774882    4809      108.627122
R      p5000-2.txt   50  5   10782329    3851      86.638575
R      p5000-2.txt   100 5   10735452    3426      79.540801
R      p5000-2.txt   200 5   10743256    3366      72.413877
R      p5000-2.txt   25  6   10782191    3670      81.222484
R      p5000-2.txt   50  6   10789012    3568      75.491521
R      p5000-2.txt   100 6   10740331    3181      72.740092
R      p5000-2.txt   200 6   10740312    3158      65.763097
R      p5000-2.txt   25  7   10805953    4691      98.251190
R      p5000-2.txt   50  7   10774283    3422      66.467061
R      p5000-2.txt   100 7   10773672    3733      70.954099
R      p5000-2.txt   200 7   10808390    4178      92.108904
R      p5000-2.txt   25  8   10788987    3822      89.532235
R      p5000-2.txt   50  8   10749060    3708      75.739477
R      p5000-2.txt   100 8   10784266    3287      67.902426
R      p5000-2.txt   200 8   10718641    2945      66.857709
R      p5000-2.txt   25  9   10754477    3369      76.726792
R      p5000-2.txt   50  9   10745995    4726      95.699352
R      p5000-2.txt   100 9   10761971    3595      72.513099
R      p5000-2.txt   200 9   10787381    3439      73.149011
R      p5000-2.txt   25  10  10792354    4951      104.890695
R      p5000-2.txt   50  10  10760187    5381      102.047924
R      p5000-2.txt   100 10  10766727    4497      80.266450
R      p5000-2.txt   200 10  10741135    3029      46.064776
F      p6000-1.txt   25  1   11333203    7531      220.918827 
F      p6000-1.txt   50  1   11323482    4725      134.019884 
F      p6000-1.txt   100 1   11293473    3925      113.346588 
F      p6000-1.txt   200 1   11295224    4076      115.883477 
F      p6000-1.txt   25  2   11311282    4477      138.487046 
F      p6000-1.txt   50  2   11319167    4629      134.666444 
F      p6000-1.txt   100 2   11317245    4927      145.796342 
F      p6000-1.txt   200 2   11269601    3692      108.030394 
F      p6000-1.txt   25  3   11297670    5560      162.260126 
F      p6000-1.txt   50  3   11307262    5792      165.050362 
F      p6000-1.txt   100 3   11327010    4441      130.346458 
F      p6000-1.txt   200 3   11312529    3835      113.874677 
F      p6000-1.txt   25  4   11310666    4629      135.981739 
F      p6000-1.txt   50  4   11310648    4560      133.274343 
F      p6000-1.txt   100 4   11303379    3759      108.268857 
F      p6000-1.txt   200 4   11298194    3561      104.354026 
F      p6000-1.txt   25  5   11338329    9311      234.694040 
F      p6000-1.txt   50  5   11293051    3822      105.785863 
F      p6000-1.txt   100 5   11282598    4265      114.478605 
F      p6000-1.txt   200 5   11320551    4208      119.265418 
F      p6000-1.txt   25  6   11306485    4071      105.520207 
F      p6000-1.txt   50  6   11303002    4277      122.977453 
F      p6000-1.txt   100 6   11328920    4546      120.403124 
F      p6000-1.txt   200 6   11309346    3837      91.700748 
F      p6000-1.txt   25  7   11337418    6199      181.330585 
F      p6000-1.txt   50  7   11304905    4061      117.883944 
F      p6000-1.txt   100 7   11287567    4363      118.549111 
