instance      b1  b2  rep value     t       it        
bqp250-1      18  2   1   -43428    300.01  416886    
bqp250-1      18  2   2   -41731    300.05  286506    
bqp250-1      18  2   3   -39242    300.18  435030    
bqp250-1      18  2   4   -35628    300.11  343938    
bqp250-1      18  2   5   -26981    300.00  495236    
bqp250-1      18  2   6   -39767    300.15  368914    
bqp250-1      18  2   7   -39358    300.06  380650    
bqp250-1      18  2   8   -42656    300.09  242254    
bqp250-1      18  2   9   -43326    300.19  375330    
bqp250-1      18  2   10  -33719    300.11  374934    
bqp250-1      18  2   11  -39065    300.17  344894    
bqp250-1      18  2   12  -42322    300.15  341508    
bqp250-1      18  2   13  -42800    300.21  420512    
bqp250-1      18  2   14  -40234    300.12  284350    
bqp250-1      18  2   15  -38942    300.12  395804 
bqp500-1      2   18  1   -55590    304.56  299208    
bqp500-1      2   18  2   -54172    301.86  295356    
bqp500-1      2   18  3   -54548    301.69  295336    
bqp500-1      2   18  4   -73993    304.02  298032    
bqp500-1      2   18  5   -53856    303.39  300654    
bqp500-1      2   18  6   -60810    303.73  300542    
bqp500-1      2   18  7   -58524    300.03  296770    
bqp500-1      2   18  8   -60301    306.63  303082    
bqp500-1      2   18  9   -71166    300.94  296690    
bqp500-1      2   18  10  -74647    300.21  295610    
bqp500-1      2   18  11  -66183    300.14  295084    
bqp500-1      2   18  12  -63700    305.47  302224    
bqp500-1      2   18  13  -56682    300.95  296866    
bqp500-1      2   18  14  -50657    302.70  299326    
bqp500-1      2   18  15  -51730    303.26  299854
bqp500-1      4   16  1   -56223    304.70  300998    
bqp500-1      4   16  2   -57704    305.30  301664    
bqp500-1      4   16  3   -60355    300.79  297324    
bqp500-1      4   16  4   -59611    306.55  302604    
bqp500-1      4   16  5   -58910    301.38  297142    
bqp500-1      4   16  6   -62050    309.61  305684    
bqp500-1      4   16  7   -60807    306.43  302460    
bqp500-1      4   16  8   -51481    308.89  305530    
bqp500-1      4   16  9   -64386    308.38  303810    
bqp500-1      4   16  10  -54752    312.37  308788    
bqp500-1      4   16  11  -69184    308.11  302690    
bqp500-1      4   16  12  -59640    308.95  305080    
bqp500-1      4   16  13  -61614    307.87  303832    
bqp500-1      4   16  14  -57279    302.53  299068    
bqp500-1      4   16  15  -55766    305.23  301530    
bqp500-1      6   14  1   -54581    311.11  305136    
bqp500-1      6   14  2   -55026    304.31  300610    
bqp500-1      6   14  3   -58901    309.38  307292    
bqp500-1      6   14  4   -46278    314.47  311426    
bqp500-1      6   14  5   -57442    311.29  309046    
bqp500-1      6   14  6   -59662    314.80  313508    
bqp500-1      6   14  7   -52274    311.67  308992    
bqp500-1      6   14  8   -62026    304.90  304328    
bqp500-1      6   14  9   -50854    306.09  305312    
bqp500-1      6   14  10  -53413    300.13  299426    
bqp500-1      6   14  11  -61826    312.76  310160    
bqp500-1      6   14  12  -50345    310.27  311638    
bqp500-1      6   14  13  -55947    312.71  313418    
bqp500-1      6   14  14  -55446    314.37  314564    
bqp500-1      6   14  15  -52492    305.08  304026
bqp500-1      8   12  1   -71165    306.08  499402    
bqp500-1      8   12  2   -70287    306.22  501850    
bqp500-1      8   12  3   -80781    304.43  500950    
bqp500-1      8   12  4   -64140    303.14  506326    
bqp500-1      8   12  5   -67143    304.60  502804    
bqp500-1      8   12  6   -63030    304.10  505482    
bqp500-1      8   12  7   -69684    306.84  510400    
bqp500-1      8   12  8   -70427    309.28  517078    
bqp500-1      8   12  9   -63978    308.78  516532    
bqp500-1      8   12  10  -63437    309.40  522466    
bqp500-1      8   12  11  -61510    304.29  509430    
bqp500-1      8   12  12  -67674    307.29  521994    
bqp500-1      8   12  13  -63993    309.03  524716    
bqp500-1      8   12  14  -67955    301.58  511176    
bqp500-1      8   12  15  -68629    308.05  517040 
bqp500-1      10  10  1   -64352    301.51  470188    
bqp500-1      10  10  2   -89963    302.06  620948    
bqp500-1      10  10  3   -61445    305.02  493214    
bqp500-1      10  10  4   -81979    308.43  502216    
bqp500-1      10  10  5   -55545    312.40  428874    
bqp500-1      10  10  6   -67441    304.25  518280    
bqp500-1      10  10  7   -66524    301.99  526866    
bqp500-1      10  10  8   -80507    302.48  623086    
bqp500-1      10  10  9   -76258    303.03  569412    
bqp500-1      10  10  10  -80382    301.80  617110    
bqp500-1      10  10  11  -75137    306.22  589882    
bqp500-1      10  10  12  -78349    306.88  604274    
bqp500-1      10  10  13  -92034    303.46  616264    
bqp500-1      10  10  14  -76831    300.87  622190    
bqp500-1      10  10  15  -76562    302.94  616706
bqp500-1      12  8   1   -73489    303.09  630882    
bqp500-1      12  8   2   -82501    304.75  626306    
bqp500-1      12  8   3   -84103    301.53  630430    
bqp500-1      12  8   4   -80669    302.15  636606    
bqp500-1      12  8   5   -86507    303.68  659604    
bqp500-1      12  8   6   -81964    303.23  663624    
bqp500-1      12  8   7   -85109    300.79  657148    
bqp500-1      12  8   8   -82159    300.37  654348    
bqp500-1      12  8   9   -84012    301.94  660042    
bqp500-1      12  8   10  -90077    301.17  655260    
bqp500-1      12  8   11  -84761    304.11  638032    
bqp500-1      12  8   12  -81991    301.44  618358    
bqp500-1      12  8   13  -89580    301.84  638120    
bqp500-1      12  8   14  -82226    302.42  649740    
bqp500-1      12  8   15  -84455    303.15  625546
bqp500-1      14  6   1   -81239    304.10  585880    
bqp500-1      14  6   2   -88319    304.04  612004    
bqp500-1      14  6   3   -73919    300.48  566516    
bqp500-1      14  6   4   -79312    303.37  572110    
bqp500-1      14  6   5   -92271    300.05  606914    
bqp500-1      14  6   6   -86207    300.27  611160    
bqp500-1      14  6   7   -79929    301.17  594936    
bqp500-1      14  6   8   -76456    302.25  590946    
bqp500-1      14  6   9   -72619    301.28  577176    
bqp500-1      14  6   10  -75099    301.61  526306    
bqp500-1      14  6   11  -75592    304.15  520690    
bqp500-1      14  6   12  -77468    303.54  539390    
bqp500-1      14  6   13  -71902    300.16  551474    
bqp500-1      14  6   14  -82731    302.45  578478    
bqp500-1      14  6   15  -94776    301.73  678266    
bqp500-1      16  4   1   -79375    304.48  499460    
bqp500-1      16  4   2   -76333    303.38  502890    
bqp500-1      16  4   3   -89633    300.04  492348    
bqp500-1      16  4   4   -85206    301.23  497154    
bqp500-1      16  4   5   -75865    303.69  504378    
bqp500-1      16  4   6   -87728    301.95  493792    
bqp500-1      16  4   7   -83163    302.34  497950    
bqp500-1      16  4   8   -83224    302.72  494248    
bqp500-1      16  4   9   -79039    300.70  495976    
bqp500-1      16  4   10  -80289    300.24  495934    
bqp500-1      16  4   11  -84172    300.45  493950    
bqp500-1      16  4   12  -85757    302.55  497724    
bqp500-1      16  4   13  -86399    301.73  494962    
bqp500-1      16  4   14  -78172    302.80  501156    
bqp500-1      16  4   15  -88960    300.28  483334 
bqp500-1      18  2   1   -85076    300.01  411426    
bqp500-1      18  2   2   -107221   300.44  443740    
bqp500-1      18  2   3   -78227    300.07  428428    
bqp500-1      18  2   4   -100873   300.17  418134    
bqp500-1      18  2   5   -95511    300.41  458152
bqp500-1      18  2   6   -67216    301.36  274254    
bqp500-1      18  2   7   -77133    304.91  274036    
bqp500-1      18  2   8   -65867    303.01  276222    
bqp500-1      18  2   9   -73038    301.34  274322    
bqp500-1      18  2   10  -68570    300.00  275072    
bqp500-1      18  2   11  -68336    302.01  276344    
bqp500-1      18  2   12  -68068    303.20  281126    
bqp500-1      18  2   13  -80965    300.35  274366    
bqp500-1      18  2   14  -69691    302.16  272012
bqp500-1      18  2   15  -61164    302.27  465204    
